term_lo,term_en,definition_lo,definition_en,variants_lo,forbidden_lo
ກຳໄລສະສົມ,Retained earnings,ກຳໄລທີ່ຍັງບໍ່ໄດ້ແບ່ງປັນ ແລະ ສະສົມມາຈາກງວດກ່ອນ,Undistributed profit accumulated from prior periods,,
ກຳໄລກ່ອນອາກອນ,Profit before tax,ຜົນໄດ້ຮັບກ່ອນຫັກອາກອນກຳໄລ,Result before deducting profit tax,ກຳໄລກ່ອນຫັກອາກອນ,
ກຳໄລສຸດທິ,Net profit,ຜົນໄດ້ຮັບຫຼັງຫັກອາກອນກຳໄລແລ້ວ,Result after deducting profit tax,,
ສິນຄ້າຄົງຄັງ,Inventory,ສິນຄ້າ ແລະ ວັດຖຸດິບ ທີ່ຖືໄວ້ເພື່ອຂາຍ ຫຼື ຜະລິດ,Goods and materials held for sale or production,ສິນຄ້າຄົງເຫຼືອ,ສະຕັອກ
ຕົ້ນທຶນສິນຄ້າຂາຍ,Cost of goods sold,ຕົ້ນທຶນຂອງສິນຄ້າທີ່ຂາຍອອກໄປໃນງວດ,Cost of the goods sold during the period,ຕົ້ນທຶນຂາຍ,
ບົດປັບປຸງ,Adjusting entry,ລາຍການທີ່ບັນທຶກຕອນທ້າຍງວດເພື່ອໃຫ້ບັນຊີຖືກຕ້ອງ,Entry recorded at period end to state accounts correctly,ລາຍການປັບປຸງ,
ຍອດຍົກມາ,Opening balance,ຍອດເຫຼືອຕົ້ນງວດ ທີ່ຍົກມາຈາກງວດກ່ອນ,Balance carried forward from the prior period,ຍອດຕົ້ນງວດ,
ຍອດຍົກໄປ,Closing balance,ຍອດເຫຼືອທ້າຍງວດ ທີ່ຍົກໄປງວດຕໍ່ໄປ,Balance carried forward to the next period,ຍອດທ້າຍງວດ,
ການປິດບັນຊີ,Closing the books,ຂັ້ນຕອນສະຫຼຸບບັນຊີເມື່ອສິ້ນສຸດງວດ,The process of finalising the accounts at period end,ປິດງວດບັນຊີ,
ງວດບັນຊີ,Accounting period,ໄລຍະເວລາທີ່ໃຊ້ສະຫຼຸບບັນຊີ ໂດຍປົກກະຕິແມ່ນ 1 ມັງກອນ ຫາ 31 ທັນວາ,The period covered by a set of accounts,ປີບັນຊີ,
ການກະທົບຍອດທະນາຄານ,Bank reconciliation,ການສົມທຽບຍອດບັນຊີເງິນຝາກກັບໃບແຈ້ງຍອດຂອງທະນາຄານ,Comparison of the bank ledger balance with the bank statement,ກະທົບຍອດທະນາຄານ,
ໃບແຈ້ງຍອດທະນາຄານ,Bank statement,ເອກະສານທີ່ທະນາຄານອອກໃຫ້ ສະແດງລາຍການເຄື່ອນໄຫວຂອງບັນຊີ,Document issued by the bank listing account movements,,
ອັດຕາແລກປ່ຽນ,Exchange rate,ອັດຕາທີ່ໃຊ້ປ່ຽນເງິນຕາຕ່າງປະເທດເປັນເງິນກີບ,Rate used to convert foreign currency into kip,,
ກີບ,Lao kip (LAK),ສະກຸນເງິນທາງການຂອງ ສປປ ລາວ ບັນທຶກເປັນຈຳນວນເຕັມສະເໝີ,The official currency of Lao PDR; always recorded as a whole number,ເງິນກີບ,
ຊັບສິນຄົງທີ່,Fixed asset,ຊັບສິນທີ່ໃຊ້ໃນການດຳເນີນງານເກີນໜຶ່ງປີ,Asset used in operations for more than one year,ຊັບສິນຖາວອນ,
ຄ່າເຜື່ອໜີ້ສົງໄສຈະສູນ,Allowance for doubtful debts,ຈຳນວນທີ່ຕັ້ງໄວ້ສຳລັບລູກໜີ້ທີ່ອາດເກັບບໍ່ໄດ້,Amount provided for receivables that may not be collected,ຄ່າເຜື່ອໜີ້ສູນ,
ໃບສັ່ງຊື້,Purchase order,ເອກະສານທີ່ຜູ້ຊື້ອອກໃຫ້ຜູ້ສະໜອງເພື່ອສັ່ງສິນຄ້າ,Document issued by a buyer to order goods from a supplier,ໃບສັ່ງຂອງ,
ໃບສົ່ງສິນຄ້າ,Delivery note,ເອກະສານທີ່ຄັດຕິດກັບສິນຄ້າຕອນສົ່ງມອບ,Document accompanying goods on delivery,ໃບສົ່ງເຄື່ອງ,
ການຮັບຮູ້ລາຍຮັບ,Revenue recognition,ການບັນທຶກລາຍຮັບເມື່ອໄດ້ໂອນຄວາມຄວບຄຸມສິນຄ້າ ຫຼື ບໍລິການແລ້ວ,Recording revenue when control of goods or services has transferred,,
ການກວດສອບບັນຊີ,Audit,ການກວດສອບບົດລາຍງານການເງິນໂດຍຜູ້ກວດສອບອິດສະຫຼະ,Examination of financial statements by an independent auditor,ການສອບບັນຊີ,
ໃບຢັ້ງຢືນຍອດ,Confirmation letter,ໜັງສືທີ່ຂໍໃຫ້ຄູ່ຄ້າຢືນຢັນຍອດຄ້າງຊຳລະ,Letter asking a counterparty to confirm an outstanding balance,,
