code,name_lo,name_en,parent_code,class,normal_balance,statement
43,ອົງການປະກັນສັງຄົມ ແລະ ອາກອນ,Social security and tax bodies,,liability,credit,BS
431,ເງິນປະກັນສັງຄົມຕ້ອງຈ່າຍ,Social security payable,43,liability,credit,BS
433,ອາກອນມູນຄ່າເພີ່ມ,Value-added tax,43,liability,credit,BS
4331,ອາກອນມູນຄ່າເພີ່ມຂາຍອອກ,Output VAT,433,liability,credit,BS
4332,ອາກອນມູນຄ່າເພີ່ມຊື້ເຂົ້າ,Input VAT,433,asset,debit,BS
4333,ອາກອນມູນຄ່າເພີ່ມຕ້ອງຊຳລະສຸດທິ,Net VAT payable,433,liability,credit,BS
4341,ອາກອນກຳໄລຕ້ອງຈ່າຍ,Profit tax payable,43,liability,credit,BS
4342,ອາກອນລາຍໄດ້ຫັກຈາກເງິນເດືອນ,Payroll income tax withheld,43,liability,credit,BS
44,ຄ່າໃຊ້ຈ່າຍຈ່າຍລ່ວງໜ້າ,Prepaid expenses,,asset,debit,BS
47,ບັນຊີພັກ ລໍຖ້າຈັດປະເພດ,Suspense account,,asset,debit,BS
49,ຄ່າເຜື່ອໜີ້ສົງໄສຈະສູນ,Allowance for doubtful debts,,asset,credit,BS
51,ເງິນຝາກທະນາຄານ,Bank deposits,,asset,debit,BS
511,ເງິນຝາກທະນາຄານ ສະກຸນກີບ,Bank account — LAK,51,asset,debit,BS
512,ເງິນຝາກທະນາຄານ ສະກຸນຕ່າງປະເທດ,Bank account — foreign currency,51,asset,debit,BS
53,ເງິນສົດ,Cash,,asset,debit,BS
531,ເງິນສົດໃນມື,Cash on hand,53,asset,debit,BS
532,ເງິນສົດຍ່ອຍ,Petty cash,53,asset,debit,BS
58,ເງິນໂອນລະຫວ່າງບັນຊີ,Internal transfers,,asset,debit,BS
60,ຕົ້ນທຶນຊື້,Cost of purchases,,expense,debit,PL
601,ຕົ້ນທຶນວັດຖຸດິບທີ່ໃຊ້ໄປ,Cost of raw materials used,60,expense,debit,PL
607,ຕົ້ນທຶນສິນຄ້າຂາຍ,Cost of goods sold,60,expense,debit,PL
61,ຄ່າບໍລິການພາຍນອກ,External services,,expense,debit,PL
613,ຄ່າເຊົ່າ,Rent,61,expense,debit,PL
615,ຄ່າສ້ອມແປງ ແລະ ບຳລຸງຮັກສາ,Repairs and maintenance,61,expense,debit,PL
616,ຄ່າປະກັນໄພ,Insurance,61,expense,debit,PL
62,ຄ່າໃຊ້ຈ່າຍບໍລິຫານອື່ນ,Other administrative expenses,,expense,debit,PL
623,ຄ່າໂຄສະນາ,Advertising,62,expense,debit,PL
625,ຄ່າເດີນທາງ ແລະ ຮັບຮອງ,Travel and entertainment,62,expense,debit,PL
626,ຄ່າໂທລະຄົມ ແລະ ອິນເຕີເນັດ,Telecom and internet,62,expense,debit,PL
627,ຄ່າທຳນຽມທະນາຄານ,Bank charges,62,expense,debit,PL
628,ຄ່ານໍ້າ ແລະ ຄ່າໄຟຟ້າ,Utilities,62,expense,debit,PL
63,ອາກອນ ແລະ ຄ່າທຳນຽມ,Taxes and duties,,expense,debit,PL
635,ອາກອນອື່ນ ແລະ ຄ່າທຳນຽມ,Other taxes and fees,63,expense,debit,PL
64,ຄ່າແຮງງານ,Personnel costs,,expense,debit,PL
641,ຄ່າແຮງງານ ພະນັກງານ,Staff costs,64,expense,debit,PL
645,ເງິນສົມທົບປະກັນສັງຄົມຂອງນາຍຈ້າງ,Employer social security contributions,64,expense,debit,PL
65,ຄ່າໃຊ້ຈ່າຍດຳເນີນງານອື່ນ,Other operating expenses,,expense,debit,PL
66,ຄ່າໃຊ້ຈ່າຍດອກເບ້ຍ ແລະ ການເງິນ,Interest and financial expenses,,expense,debit,PL
661,ດອກເບ້ຍເງິນກູ້,Loan interest,66,expense,debit,PL
666,ຂາດທຶນຈາກອັດຕາແລກປ່ຽນ,Foreign exchange loss,66,expense,debit,PL
68,ຄ່າຫຼູ້ຍຫ້ຽນ ແລະ ຄ່າເຜື່ອ,Depreciation and provisions,,expense,debit,PL
681,ຄ່າຫຼູ້ຍຫ້ຽນປະຈຳງວດ,Depreciation expense,68,expense,debit,PL
687,ຄ່າເຜື່ອໜີ້ສົງໄສຈະສູນ,Doubtful debt provision expense,68,expense,debit,PL
69,ອາກອນກຳໄລ,Profit tax,,expense,debit,PL
695,ອາກອນກຳໄລປະຈຳປີ,Annual profit tax,69,expense,debit,PL
70,ລາຍຮັບຈາກການດຳເນີນງານ,Operating revenue,,revenue,credit,PL
701,ລາຍຮັບຈາກການຂາຍສິນຄ້າ,Sales revenue,70,revenue,credit,PL
706,ລາຍຮັບຈາກການບໍລິການ,Service revenue,70,revenue,credit,PL
709,ສ່ວນຫຼຸດ ແລະ ສິນຄ້າສົ່ງຄືນ,Discounts and sales returns,70,revenue,debit,PL
71,ລາຍຮັບອື່ນຈາກການດຳເນີນງານ,Other operating revenue,,revenue,credit,PL
719,ລາຍຮັບອື່ນຫຼາກຫຼາຍ,Miscellaneous other revenue,71,revenue,credit,PL
76,ລາຍຮັບທາງການເງິນ,Financial revenue,,revenue,credit,PL
762,ດອກເບ້ຍຮັບ,Interest income,76,revenue,credit,PL
766,ກຳໄລຈາກອັດຕາແລກປ່ຽນ,Foreign exchange gain,76,revenue,credit,PL
77,ລາຍຮັບພິເສດ,Extraordinary income,,revenue,credit,PL
